name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
養親轅咖啡,320桃園市中壢區環中東路二段488號,24.9462425,121.2319553,0,,,,,,,,,,,,,,,,
冷杉咖啡 Silver Tree Coffee,桃園市中壢區慈惠二街56號,24.960459,121.2246746,,,,,,,,,,,,,,,,,
日暖咖啡,330桃園市桃園區春日路279號,24.9985627,121.3148753,,,,,,,,,,,,,,,,,
Think Coffee 阿信咖啡,桃園市中壢區中正路四段32號,24.9882607,121.1816536,0,,,,,,,,,,,,,,,,
歐曼,桃園市龜山區自強東路204號,24.9965942,121.3443452,0,12:00~20:00,,,,,,,,,,,,,,,
黑瓶咖啡,桃園市桃園區大興西路二段138號,25.0104179,121.296279,0,,,,,,,,,,,,,,,,
酒豆 Chotto,桃園市中壢區成章一街181號,24.9756374,121.2546746,,,,,,,,,,,,,,,,,
綠沐恬拾,桃園市中壢區中央西路二段229-1號,24.9609019,121.212802,,,,,,,,,,,,,,,,,
Han's larger 自家烘焙,桃園市龜山區文化一街十巷41弄8號一樓,25.0484479,121.385728,,11:00-22:00,,,,,,,,,,,,,,,
快樂天堂自家烘焙咖啡館Happy Paradise,桃園市大溪區中正路41號,24.8830172,121.2861016,,,,,,,,,,,,,,,,,
 Hidden Dream 嚐夢甜點,桃園市桃園區民光路127號,25.0033527,121.3043818,,,,,,,,,,,,,,,,,
共坐 Cafe,桃園市中壢區大仁五街35號1樓,24.9563591,121.2402783,0,,,,,,,,,,,,,,,,
星海之戀咖啡館,桃園市蘆竹區南山路三段446號,25.088807,121.287384,,,,,,,,,,,,,,,,,
INSIDE TO GO,桃園市中壢區興仁路二段67巷7號2樓,24.967255,121.2630183,,,,,,,,,,,,,,,,,
Material café 素材日常,桃園市中壢區環中東路桃園區320,24.9586806,121.2504364,,,,,,,,,,,,,,,,,
OWL Dessert 貓頭鷹法式手工甜點,桃園市八德區東勇街78號,24.9590892,121.3067697,0,,,,,,,,,,,,,,,,
MR.DODO自家烘焙咖啡館,桃園市平鎮區北華里振平街3號,24.9450511,121.2196128,,AM 11:30~ PM 7:00,,,,,,,,,,,,,,,
BUNA CAF'E布納咖啡館藝文店,桃園市桃園區中正路1061號,25.015787,121.2984972,0,,,,,,,,,,,,,,,,
年輕的老頭,桃園市龍潭區聖亭路八德段22號,24.8732568,121.202518,,,,,,,,,,,,,,,,,
羅伯咖啡-桃園中華電信中壢中山門市,桃園市中壢區中山路152號,24.9563049,121.22436,0,,,,,,,,,,,,,,,,
樹舍308 Cafe,桃園市中壢區復華街308號,24.9767559,121.2482979,,,,,,,,,,,,,,,,,
Piepai Cafe',桃園區大興路120巷21號,25.0160606,121.3097364,,,,,,,,,,,,,,,,,
日福 OH HAPPY DAY,桃園市桃園區中埔七街7號,25.0206288,121.2951471,,,,,,,,,,,,,,,,,
散步咖啡 La Promenade Café,桃園市中壢區三和三街24號,24.9543049,121.240703,,12:00-9:00 (週日公休),,,,,,,,,,,,,,,
7號公路,桃園市復興區澤仁里詩朗14-1號,24.8257531,121.3561563,,,,,,,,,,,,,,,,,
月光咖啡廳 ,桃園市桃園區民富十一街108號,25.0107896,121.3143655,,11:00~22:00，週一公休,,,,,,,,,,,,,,,
芮漢精品咖啡,桃園市龜山區宏慶街70號,25.0187674,121.4113913,,,,,,,,,,,,,,,,,
喬治的咖啡 George’s Coffee,桃園市中壢區民權路150號,24.9589545,121.2175063,,,,,,,,,,,,,,,,,
老窩咖啡烘培館－桃園中平店,宏昌六街256號,24.9870511,121.2911583,,,,,,,,,,,,,,,,,
拾事咖啡,桃園市中壢區福星六街67號,24.9662689,121.23283,,,,,,,,,,,,,,,,,
SOLO Coffee,桃園區莊敬路二段34巷38之一號,25.023322,121.29282,0,10:00~17:00，周四公休,,,,,,,,,,,,,,,
我們。他們咖啡廳,320桃園市中壢區長安街1之 13號,24.9543688,121.2175509,,,,,,,,,,,,,,,,,
豆趣咖啡,桃園市蘆竹區南山路一段212號,25.0548007,121.2908333,0,11:00-21:00,,,,,,,,,,,,,,,
森鄰水岸景觀咖啡館,桃園市復興區澤仁里一鄰6號,24.81408,121.346174,,,,,,,,,,,,,,,,,
亞鷹咖啡館,桃園市平鎮區中豐路山頂段236號,24.8986536,121.2108684,,,,,,,,,,,,,,,,,
倆朵花 two flowers coffee,桃園市桃園區介壽路427號1樓,24.9787821,121.304196,,,,,,,,,,,,,,,,,
Sieg cafe,中壢區中和路271號1樓,24.9536184,121.2227156,0,11:00~22:00,,,,,,,,,,,,,,,
甘日洋食行,桃園市桃園區莊二街69號,25.023882,121.2942451,,,,,,,,,,,,,,,,,
